timestamp,accel_x,accel_y,accel_z
12516,2.95,-6.00,7.07
12540,-11.29,-11.65,13.22
12564,-10.20,-1.24,11.15
12587,4.21,11.70,10.04
12611,11.52,10.99,13.70
12634,5.66,-3.45,8.11
12658,-6.04,-11.54,9.29
12682,-11.57,-4.68,12.63
12705,-0.01,10.30,9.73
12729,11.27,12.40,12.71
12752,7.86,-0.41,9.59
12776,-3.45,-10.46,7.66
12799,-12.11,-7.32,13.54
12823,-5.69,5.51,9.59
12846,10.54,12.85,11.84
12870,10.63,5.48,12.80
12893,-1.02,-9.09,7.04
12917,-12.03,-9.31,13.89
12940,-7.94,2.51,10.00
12964,7.89,12.85,10.67
12987,11.25,8.32,13.86
13011,2.53,-6.28,6.99
13034,-8.93,-12.07,11.32
13058,-10.33,-1.65,11.39
13081,-1.35,9.62,9.73
13105,11.50,11.28,13.44
13129,6.61,-2.04,8.67
13152,-4.56,-10.91,8.33
13176,-11.86,-6.51,13.34
13199,-5.45,5.80,9.65
13223,10.24,12.88,11.81
13247,10.67,5.78,13.04
13270,0.34,-8.04,6.89
13294,-10.04,-11.86,12.39
13317,-9.52,-0.25,10.79
13341,-0.07,10.20,9.88
13364,11.30,10.89,13.64
13388,8.70,0.82,10.31
13411,-4.53,-10.81,8.49
13435,-11.74,-9.90,13.85
13458,-6.02,4.96,9.69
13482,5.87,12.29,10.35
13505,10.88,6.90,13.37
13529,4.65,-4.39,7.58
13552,-9.89,-12.12,12.04
13576,-11.26,-4.15,12.50
13599,0.00,10.23,9.88
13623,10.88,12.24,12.48
13646,8.64,1.09,10.46
13670,0.16,-8.21,7.01
13693,-11.38,-10.74,13.66
13717,-9.70,-0.62,10.99
13740,3.08,11.57,10.18
13764,11.03,10.92,13.24
13787,7.73,-0.66,9.42
13811,-1.51,-9.46,7.39
13834,-11.47,-9.21,13.85
13858,-8.95,0.79,10.54
13882,4.66,11.82,10.32
13906,10.90,7.94,13.62
13929,6.22,-2.66,8.31
13953,-7.92,-11.89,10.64
13976,-11.71,-6.69,13.43
14000,-2.77,8.35,9.82
14023,8.85,12.50,11.22
14047,10.06,4.34,12.26
14070,-0.50,-8.92,7.04
14094,-10.05,-11.60,12.77
14117,-9.37,0.09,10.76
14141,0.10,10.16,9.93
14164,11.31,10.82,13.67
14188,8.60,0.91,10.34
14211,-4.75,-11.05,8.36
14235,-11.64,-9.64,13.97
14258,-6.17,4.86,9.75
14282,5.07,11.95,10.26
14305,10.88,7.65,13.62
14329,5.67,-2.95,8.05
14352,-8.54,-12.04,11.01
14376,-11.65,-6.23,13.28
14399,-2.00,8.77,9.75
14423,9.60,12.73,11.49
14446,9.69,3.09,11.77
14470,1.63,-6.95,6.74
14493,-11.07,-11.23,13.43
14517,-10.19,-1.79,11.47
14541,2.48,10.82,9.94
14564,11.03,11.61,13.09
14588,7.97,-0.27,9.74
14611,-1.21,-9.07,7.06
14635,-11.55,-9.60,13.94
14658,-8.97,0.55,10.67
14682,4.78,11.89,10.16
14706,10.91,8.02,13.76
14729,6.25,-2.41,8.42
14753,-7.01,-11.36,10.10
14776,-11.67,-8.22,13.77
14800,-4.91,5.89,9.83
14823,5.67,12.35,10.37
14847,10.76,7.35,13.56
14870,6.51,-2.33,8.52
14894,-6.29,-11.12,9.70
14917,-11.57,-8.81,13.84
14941,-5.97,5.14,9.86
14964,4.31,11.54,10.20
14988,10.84,8.25,13.73
15011,7.46,-0.88,9.17
15035,-5.03,-10.91,8.87
15058,-11.38,-9.87,13.93
15082,-6.86,3.90,9.98
15106,7.20,12.42,10.67
15129,11.03,8.97,13.86
15153,4.95,-3.80,7.64
15176,-5.22,-10.96,8.81
15200,-11.53,-6.37,13.40
15223,-6.42,4.45,9.91
15247,7.75,12.29,10.81
15271,10.90,8.46,13.90
15294,4.92,-3.66,7.61
