timestamp,accel_x,accel_y,accel_z
14103,-0.68,-0.77,10.78
14127,-2.45,-4.17,10.49
14150,2.99,-0.37,11.82
14174,0.11,0.02,10.91
14197,-1.86,-4.27,10.99
14221,2.67,-0.76,11.80
14244,-1.04,-1.05,10.73
14268,-2.28,-4.18,10.63
14291,3.13,-0.23,11.81
14315,-0.38,-0.40,10.83
14338,-1.51,-4.30,11.15
14362,2.94,-0.57,11.81
14386,-1.44,-1.58,10.64
14409,-0.43,-3.81,11.45
14433,3.08,-0.17,11.74
14457,-2.35,-2.64,10.28
14480,-1.04,-4.22,11.30
14504,2.73,0.29,11.50
14527,-1.88,-2.06,10.49
14551,0.06,-3.48,11.49
14574,3.06,0.07,11.68
14598,-2.60,-2.90,10.13
14621,-0.61,-3.96,11.41
14645,2.49,0.41,11.39
14668,-2.21,-2.43,10.31
14692,0.41,-3.20,11.54
14715,2.95,0.14,11.58
14739,-2.65,-2.90,10.08
14762,-0.47,-3.95,11.43
14786,2.55,0.44,11.44
14810,-2.81,-3.24,9.97
14833,0.11,-3.56,11.50
14857,2.14,0.66,11.27
14880,-2.45,-2.82,10.19
14904,0.71,-2.88,11.57
14927,1.48,0.74,11.12
14951,-2.72,-2.89,10.04
14974,1.31,-2.23,11.68
14998,2.49,0.39,11.39
15021,-2.92,-3.29,9.96
15045,0.19,-3.34,11.50
15068,1.86,0.62,11.20
15092,-2.62,-2.92,10.17
15115,1.14,-2.44,11.64
15139,2.53,0.46,11.43
15162,-2.87,-3.37,10.00
15186,2.10,-1.39,11.74
15210,1.70,0.61,11.20
15233,-2.77,-3.72,10.24
15257,1.32,-2.25,11.71
15280,0.82,0.56,10.96
15304,-2.88,-3.37,10.01
15328,2.24,-1.28,11.75
15351,1.42,0.60,11.09
15375,-2.76,-3.65,10.32
15398,1.51,-2.10,11.68
15422,0.61,0.43,10.93
15445,-2.87,-3.44,10.05
15469,2.35,-1.13,11.73
15492,1.32,0.70,11.09
15516,-2.67,-3.92,10.36
15539,1.54,-1.92,11.70
15563,0.58,0.57,10.98
15586,-2.93,-3.45,9.99
15610,2.01,-1.51,11.72
15633,1.97,0.73,11.22
15657,-2.88,-3.56,10.05
15680,0.73,-2.86,11.56
15704,1.55,0.71,11.15
15727,-2.68,-2.97,10.10
15750,-0.62,-4.03,11.40
15773,3.10,-0.27,11.77
15797,-1.85,-1.99,10.48
15820,-1.89,-4.30,11.01
15844,3.06,-0.16,11.75
15867,-0.36,-0.28,10.87
15891,-1.72,-4.35,11.05
15914,2.61,-1.00,11.76
15938,-0.41,-0.36,10.85
15961,-2.71,-3.77,10.29
15985,2.61,-0.92,11.79
16008,1.29,0.74,11.08
16032,-2.71,-3.68,10.27
16056,1.16,-2.49,11.63
16079,1.21,0.67,11.05
16103,-2.77,-3.07,10.03
16126,1.17,-2.41,11.67
16150,2.66,0.29,11.48
16173,-2.73,-2.97,10.05
16197,-0.65,-4.11,11.37
16220,2.76,0.25,11.53
16244,-1.63,-1.67,10.55
16267,-0.73,-4.14,11.38
16291,2.69,0.29,11.52
16314,-1.52,-1.59,10.55
16338,-0.81,-4.18,11.37
16361,3.02,-0.39,11.80
16385,-1.38,-1.46,10.63
16408,-2.28,-4.05,10.67
16432,2.90,-0.52,11.75
16455,0.56,0.52,10.94
16479,-2.44,-4.08,10.56
16502,1.62,-1.95,11.67
16526,0.81,0.59,10.97
16549,-2.83,-3.17,10.00
16573,1.37,-2.21,11.66
16596,2.60,0.38,11.48
16620,-2.83,-3.07,10.01
16643,-0.39,-3.96,11.40
16667,2.60,0.39,11.45
16690,-1.82,-1.92,10.48
16714,-0.34,-3.93,11.43
16738,3.11,-0.24,11.76
16761,-1.85,-2.04,10.49
16785,-1.93,-4.26,10.93
16808,3.13,-0.28,11.80
16832,0.02,-0.08,10.87
16855,-1.98,-4.30,10.92
16879,2.29,-1.30,11.70
16902,0.07,0.11,10.87
16926,-2.88,-3.46,10.08
16949,2.15,-1.39,11.73
16973,1.83,0.64,11.27
16996,-2.83,-3.40,10.03
17020,0.39,-3.32,11.50
17043,2.10,0.55,11.32
17067,-2.23,-2.47,10.33
17090,0.16,-3.56,11.51
17114,3.11,-0.10,11.72
17137,-1.98,-2.13,10.44
17160,-2.80,-3.61,10.19
17183,2.25,-1.23,11.73
17207,1.83,0.83,11.25
17230,-2.89,-3.43,10.04
17254,0.19,-3.56,11.47
17277,2.32,0.52,11.42
17301,-1.88,-2.01,10.50
17324,-0.50,-4.08,11.42
17348,3.07,-0.39,11.78
17371,-1.30,-1.27,10.68
17395,-2.43,-4.01,10.55
17419,2.80,-0.81,11.75
17442,1.09,0.67,11.04
17466,-2.71,-3.63,10.24
17489,0.81,-2.97,11.54
17513,1.96,0.61,11.29
17536,-2.19,-2.33,10.38
17560,-0.23,-3.91,11.44
17583,2.71,0.34,11.54
17607,-1.28,-1.23,10.67
17630,-1.31,-4.45,11.26
17654,2.53,-0.95,11.75
17677,0.06,0.13,10.91
17701,-2.93,-3.30,10.01
17724,1.43,-2.26,11.62
17748,2.71,0.07,11.49
17771,-2.48,-2.72,10.24
17795,-1.42,-4.33,11.20
17818,3.12,-0.28,11.74
17842,0.25,0.30,10.92
17865,-2.46,-3.91,10.57
17889,1.24,-2.50,11.62
17912,1.63,0.71,11.17
17936,-2.35,-2.56,10.30
17959,0.01,-3.73,11.49
17983,3.13,-0.26,11.73
18006,-1.42,-1.40,10.61
18030,-2.41,-3.97,10.61
18053,2.67,-0.91,11.72
18077,1.48,0.71,11.12
18101,-2.86,-3.47,10.11
18124,0.25,-3.49,11.51
18148,2.40,0.43,11.41
18171,-1.78,-1.90,10.52
18195,-0.89,-4.24,11.35
18218,2.79,-0.74,11.79
18242,-0.33,0.01,10.85
18265,-2.89,-3.49,10.08
18289,1.64,-1.99,11.62
18312,2.61,0.38,11.49
18336,-2.57,-2.83,10.18
18359,-1.34,-4.40,11.22
18383,3.03,-0.10,11.73
18406,-0.21,-0.07,10.87
18430,-2.11,-4.19,10.88
18453,1.97,-1.68,11.69
18477,0.65,0.51,10.90
18500,-2.81,-3.17,10.01
18524,1.27,-2.48,11.64
18547,2.69,0.28,11.50
18571,-2.59,-2.81,10.14
18594,-1.19,-4.27,11.31
18618,3.07,0.00,11.69
18641,-0.63,-0.53,10.79
18665,-1.72,-4.24,11.05
18688,2.32,-1.27,11.74
18712,0.21,0.26,10.89
18735,-2.90,-3.34,10.00
18759,1.59,-1.99,11.70
18782,2.51,0.40,11.47
18806,-2.73,-3.02,10.08
18829,-0.83,-4.16,11.34
18853,2.92,0.06,11.61
18877,-2.30,-2.53,10.27
18900,-1.53,-4.42,11.17
18924,3.05,-0.07,11.74
18947,0.03,0.12,10.90
18971,-2.30,-4.13,10.70
18994,1.65,-2.05,11.65
19018,1.08,0.71,10.99
19041,-2.63,-2.80,10.12
19065,0.51,-3.41,11.49
19088,3.09,-0.04,11.68
19112,-1.90,-1.99,10.50
19135,-2.06,-4.28,10.91
19159,2.97,-0.39,11.75
19182,0.54,0.50,10.91
19206,-2.52,-3.94,10.48
19229,1.35,-2.29,11.67
19253,1.35,0.68,11.05
19276,-2.57,-2.88,10.12
19300,0.66,-3.04,11.56
19323,2.97,0.09,11.63
19347,-2.26,-2.40,10.31
19370,-1.76,-4.30,11.05
19394,3.08,-0.27,11.76
19417,0.18,0.26,10.89
19441,-2.35,-4.00,10.64
19464,1.52,-2.26,11.60
19488,1.41,0.75,11.13
19511,-2.46,-2.71,10.25
19535,0.13,-3.83,11.46
19558,3.02,-0.28,11.74
19582,-1.28,-1.14,10.72
19606,-2.64,-3.79,10.41
19630,2.32,-1.35,11.67
19653,0.53,0.60,10.94
